Años;Pesados;Ligeros;Total;Er;N
2000;8114;28602;36716;5,72608E-05;44095527,65
2001;8872;31274;40146;5,58844E-05;48214878,15
2002;9356;33762;43118;5,50816E-05;50845175,83
2003;9726;34312;44038;5,45026E-05;52855940,58
2004;9495;34425;43920;5,48607E-05;51600571,23
2005;9618;35827;45445;5,46687E-05;52269014,65
2006;10185;38217;48402;5,38222E-05;55350375,78
2007;10538;39948;50486;5,33249E-05;57268754,05
2008;8873;41745;50618;5,58827E-05;48220312,64
2009;6987;34220;41207;5,96417E-05;37970846,89
2010;5160;36181;41341;6,47758E-05;28042016,59
2011;4359;28050;32409;6,78222E-05;23688982,62
2012;3839;25268;29107;7,02104E-05;20863042,97
2013;3849;25387;29236;7,01607E-05;20917387,96
2014;3909;25938;29847;6,98657E-05;21243457,92
2015;4428;27869;32297;6,75327E-05;24063963,08
2016;4674;29774;34448;6,65452E-05;25400849,92
2017;4964;31015;35979;6,54628E-05;26976854,72
2018;5263;32524;37787;6,4428E-05;28601770,03
2019;5562;34034;39596;6,34654E-05;30226685,33
2020;5862;35542;41404;6,25636E-05;31857035,13
2021;6161;37052;43213;6,17214E-05;33481950,43
